time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	0	0	0	0	0	0	0	0
04:20:00	15600	0	0	0	0	0	0	0	0
04:25:00	15900	0	0	0	0	0	0	0	0
04:30:00	16200	0	0	0	0	0	0	0	0
04:35:00	16500	0	0	0	0	0	0	0	0
04:40:00	16800	0	0	0	0	0	0	0	0
04:45:00	17100	0	0	0	0	0	0	0	0
04:50:00	17400	0	0	0	0	0	0	0	0
04:55:00	17700	0	0	0	0	0	0	0	0
05:00:00	18000	0	0	0	0	0	0	0	0
05:05:00	18300	0	0	0	0	0	0	0	0
05:10:00	18600	0	0	0	0	0	0	0	0
05:15:00	18900	0	0	0	0	0	0	0	0
05:20:00	19200	0	0	0	0	0	0	0	0
05:25:00	19500	0	0	0	0	0	0	0	0
05:30:00	19800	0	0	0	0	0	0	0	0
05:35:00	20100	0	0	0	0	0	0	0	0
05:40:00	20400	0	0	0	0	0	0	0	0
05:45:00	20700	0	0	0	0	0	0	0	0
05:50:00	21000	0	0	0	0	0	0	0	0
05:55:00	21300	0	0	0	0	0	0	0	0
06:00:00	21600	65	21	0	44	65	21	0	44
06:05:00	21900	76	29	0	91	76	29	0	91
06:10:00	22200	72	38	0	125	72	38	0	125
06:15:00	22500	78	35	0	168	78	35	0	168
06:20:00	22800	72	41	0	199	72	41	0	199
06:25:00	23100	63	30	0	232	63	30	0	232
06:30:00	23400	67	31	0	268	67	31	0	268
06:35:00	23700	75	37	0	306	75	37	0	306
06:40:00	24000	78	46	0	338	78	46	0	338
06:45:00	24300	61	38	0	361	61	38	0	361
06:50:00	24600	85	52	0	394	85	52	0	394
06:55:00	24900	67	38	0	423	67	38	0	423
07:00:00	25200	71	35	0	459	71	35	0	459
07:05:00	25500	81	56	0	484	81	56	0	484
07:10:00	25800	81	62	0	503	81	62	0	503
07:15:00	26100	69	57	0	515	69	57	0	515
07:20:00	26400	76	58	0	533	76	58	0	533
07:25:00	26700	91	58	0	566	91	58	0	566
07:30:00	27000	80	55	0	591	80	55	0	591
07:35:00	27300	88	70	0	609	88	70	0	609
07:40:00	27600	87	74	0	622	87	74	0	622
07:45:00	27900	90	64	1	647	90	64	1	647
07:50:00	28200	93	74	0	666	93	74	0	666
07:55:00	28500	93	66	0	693	93	66	0	693
08:00:00	28800	95	64	2	722	95	64	2	722
08:05:00	29100	79	81	0	720	79	81	0	720
08:10:00	29400	84	83	1	720	84	83	1	720
08:15:00	29700	88	70	0	738	88	70	0	738
08:20:00	30000	90	73	0	755	90	73	0	755
08:25:00	30300	95	81	0	769	95	81	0	769
08:30:00	30600	72	73	0	768	72	73	0	768
08:35:00	30900	83	75	0	776	83	75	0	776
08:40:00	31200	95	87	0	784	95	87	0	784
08:45:00	31500	101	82	0	803	101	82	0	803
08:50:00	31800	114	96	0	821	114	96	0	821
08:55:00	32100	92	76	1	836	92	76	1	836
09:00:00	32400	98	78	1	855	98	78	1	855
09:05:00	32700	113	96	0	872	113	96	0	872
09:10:00	33000	85	93	0	864	85	93	0	864
09:15:00	33300	109	95	0	878	109	95	0	878
09:20:00	33600	90	97	0	871	90	97	0	871
09:25:00	33900	106	101	0	876	106	101	0	876
09:30:00	34200	93	102	0	867	93	102	0	867
